Row	RPPA Core Ab Name**	Ab Name Reported on Dataset	Gene Name	NCBI Entrez Gene ID	Company	Catalog 	Internal Ab ID	RRID	Species	Validation Status*	RPPA Dilution	Storage
217	GSK-3beta	GSK-3B	GSK3B	2932	CST	9315	1163	AB_490890	Rabbit	Caution	 1:750	-20
461	Hamartin/TSC1	TSC1	TSC1	7248	CST	6935	2553	AB_10860420	Rabbit	Valid	 1:100	-20
222	HER-2/c-erbB-2/neu Ab-8	HER2	ERBB2	2064	Lab Vision/ThermoFisher	MS-325-P1	1038	AB_61444	Mouse	Valid	 1:300	4
226	Heregulin	Heregulin	NRG1	3084	CST	2573	890	AB_1031011	Rabbit	Valid	 1:50	-20
227	HES1	HES1	HES1	3280	CST	11988	1582	AB_2728766	Rabbit	Valid	 1:500	-20
228	Hexokinase I	Hexokinase-I	HK1	3098	CST	2024	2340	AB_2116996	Rabbit	Caution	 1:500	-20
229	Hexokinase II	Hexokinase-II	HK2	3099	Abcam	ab228819	2435	AB_2868547	Rabbit	Valid	 1:4000	-20
230	HIF-1A	Hif-1-alpha	HIF1A	3091	CST	36169	2392	AB_2799095	Rabbit	Caution	 1:150	-20
220	Histone H2AX (phospho Ser139)	H2AX_pS139	H2AX	3014	CST	9718	1342	AB_2118009	Rabbit	Caution	 1:50	-20
221	Histone H2AX (phospho Ser140)	H2AX_pS140	H2AX	3014	Abcam	ab22551	2129	AB_447150	Mouse	Caution	 1:500	-20
471	Histone H2B (ubiquityl Lys120)	U-Histone-H2B	H2BC3	3018	CST	5546	1662	AB_10693452	Rabbit	Caution	 1:500	-20
231	Histone H3	Histone-H3	H3C1	"8350-8, 8968"	Abcam	ab1791	1250	AB_302613	Rabbit	Valid	 1:5000	-20
146	Histone H3 (dimethyl Lys9)	DM-K9-Histone-H3	HC31	"8350-8, 8968"	Abcam	ab1220	2319	AB_449854	Mouse	Valid	 1:100	-20
145	Histone H3 (dimethyl)	DM-Histone-H3	H3-4	8290	Millipore	07-030	1380	AB_310342	Rabbit	Valid	 1:1000	-20
232	Histone H3 (phospho Ser10)	Histone-H3_pS10	H3C1	"8350-8, 8968"	CST	3377	2341	AB_1549592	Rabbit	Valid	 1:200	-20
233	HLA-DQA1	HLA-DQA1	HLA-DQA1	3117	Abcam	ab211930	2524	AB_2811040	Rabbit	Valid	 1:500	-20
234	HLA-DRA	HLA-DR-DP-DQ-DX	HLA-DRA	3122	Invitrogen	PA5-29814	2388	AB_2547288	Rabbit	Caution	 1:500	-20
235	HMHA1	HMHA1	ARHGAP45	23526	ProteinTech	14832-1-AP	1902	AB_10642145	Rabbit	Valid	 1:3000	-20
236	hnRNP K	HNRNPK	HNRNPK	3190	CST	9081	2469	AB_11178946	Rabbit	Valid	 1:150	-20
237	HSP27	HSP27	HSPB1	3315	CST	2402	321	AB_331761	Mouse	Caution	 1:75	-20
238	HSP27 (phospho Ser82)	HSP27_pS82	HSPB1	3315	CST	2401	323	AB_331644	Rabbit	Valid	 1:37	-20
239	HSP60	HSP60	HSPD1	3329	CST	12165	1808	AB_2636980	Rabbit	Valid	 1:250	-20
240	HSP70	HSP70	HSPA1A	3303	CST	4872	325	AB_2279841	Rabbit	Caution	 1:50	-20
456	Hsp75/TRAP1	TRAP1	TRAP1	10131	BD Biosciences	612344	2370	AB_399710	Mouse	Valid	 1:500	-20
241	IDO	IDO	IDO1	3620	CST	86630	2158	AB_2636818	Rabbit	Caution	 1:25	-20
245	IGF-1 Receptor beta	IGFRb	IGF1R	3480	CST	3027	336	AB_2122378	Rabbit	Caution	 1:250	-20
242	IGF-1 Receptor beta (phospho Tyr1135 Tyr1136)	IGF1R_pY1135_Y1136	IGF1R/INSR	"3480, 3643"	CST	3024	1221	AB_331253	Rabbit	Valid	 1:30	-20
243	IGFBP2	IGFBP2	IGFBP2	3485	CST	3922	335	AB_2123207	Rabbit	Valid	 1:30	-20
244	IGFBP3	IGFBP3	IGFBP3	3486	BD Biosciences	611504	793	AB_398964	Mouse	Valid	 1:30	-20
246	IL-6	IL-6	IL6	3569	CST	12153	1949	AB_2687897	Rabbit	Caution	 1:50	-20
247	IMP3	IMP3	IGF2BP3	10643	CST	57145	2583	AB_2799525	Rabbit	Caution	 1:30	-20
248	INPP4b	INPP4b	INPP4B	8821	CST	14543	2459	AB_2798505	Rabbit	Caution	 1:300	-20
249	Insulin Receptor beta	IR-b	INSR	3643	CST	3025	1586	AB_2280448	Rabbit	Caution	 1:30	-20
250	IRF-1	IRF-1	IRF1	3659	CST	8478	1387	AB_10949108	Rabbit	Valid	 1:150	-20
251	IRF-3	IRF-3	IRF3	3661	CST	4302	2519	AB_1904036	Rabbit	Valid	 1:250	-20
252	IRS1	IRS1	IRS1	3667	Millipore	06-248	802	AB_2127890	Rabbit	Valid	 1:100	-20
253	IRS2	IRS2	IRS2	8660	CST	4502	371	AB_2125774	Rabbit	Caution	 1:50	-20
254	JAB1	JAB1	COPS5	10987	Santa Cruz	sc-13157	1394	AB_627835	Mouse	Caution	 1:20	4
255	Jagged1	Jagged1	JAG1	182	Abcam	ab109536	1413	AB_10862281	Rabbit	Valid	 1:50	-20
256	Jak2	Jak2	JAK2	3717	CST	3230	1166	AB_2128522	Rabbit	Valid	 1:3000	-20
257	JNK (phospho Thr183 Tyr185)	JNK_pT183_Y185	MAPK8	5599	CST	4671	377	AB_331338	Rabbit	Caution	 1:75	-20
258	JNK2	JNK2	MAPK9	5601	Invitrogen	PA5-28262	2439	AB_2545738	Rabbit	Valid	 1:250	-20
259	KAP1	KAP1	TRIM28	10155	Abcam	ab10484	1757	AB_297223	Rabbit	Valid	 1:2000	-20
260	KEAP1	KEAP1	KEAP1	9817	CST	8047	2546	AB_10860776	Rabbit	Valid	 1:500	-20
261	LAD1	LAD1	LAD1	3898	Atlas/Sigma-Aldrich	HPA028732	2237	AB_10602916	Rabbit	Valid	 1:250	-20
262	Lasu1/Ureb1	Lasu1	HUWE1	10075	Bethyl	IHC-00439	1643	AB_1907308	Rabbit	Valid	 1:500	4
263	LC3A/B	LC3A-B	MAP1LC3A/B	"84557, 81631"	CST	4108	1618	AB_2137703	Rabbit	Caution	 1:150	-20
264	Lck	Lck	LCK	3932	CST	2752	397	AB_2234649	Rabbit	Valid	 1:75	-20
265	LCN2	LCN2	LCN2	3934	CST	44058	2545	AB_2799257	Rabbit	Valid	 1:2000	-20
266	LDHA	LDHA	LDHA	3939	CST	3582	976	AB_2066887	Rabbit	Caution	 1:100	-20
267	LRP6 (phospho Ser1490)	LRP6_pS1490	LRP6	4040	CST	2568	1367	AB_2139327	Rabbit	Valid	 1:150	-20
268	Lyn	Lyn	LYN	4067	CST	2796	2424	AB_2138391	Rabbit	Valid	 1:125	-20
269	MACC1	MACC1	MACC1	346389	CST	86290	2544	AB_2800075	Rabbit	Valid	 1:500	-20
271	Mcl-1	Mcl-1	MCL1	4170	CST	5453	1222	AB_10694494	Rabbit	Valid	 1:100	-20
273	MDM2 (phospho Ser166)	MDM2_pS166	MDM2	4193	Abcam	ab131355	2600	AB_11157309	Rabbit	Valid	 1:2000	-20
274	MEK1	MEK1	MAP2K1	5604	Epitomics/Abcam	1235-1/ab32576	417	AB_776274	Rabbit	Valid	 1:1500	-20
275	MEK1/2 (phospho Ser217 Ser221)	MEK1_pS217_S221	MAP2K1/MAP2K2	"5604, 5605"	CST	9154	1076	AB_2138017	Rabbit	Valid	 1:50	-20
276	MEK2	MEK2	MAP2K2	5605	CST	9125	1243	AB_2140644	Rabbit	Valid	 1:50	-20
277	MelanA	MelanA	MLANA	2315	Abcam	ab51061	2118	AB_880693	Rabbit	Caution	 1:500	-20
278	Melanoma gp100	Melanoma-gp100	PMEL	6490	Abcam	ab137078	2119	AB_2732921	Rabbit	Caution	 1:1500	-20
279	MERIT40	MERIT40	BABAM1	29086	CST	12711	1951	AB_2750885	Rabbit	Caution	 1:3000	-20
280	MERIT40 (phospho Ser29)	MERIT40_pS29	BABAM1	29086	CST	12110	1952	AB_2750884	Rabbit	Valid	 1:100	-20
281	Merlin/NF2	Merlin	NF2	4771	Novus	22710002	1046	AB_10004662	Rabbit	Caution	 1:500	-20
282	METTL3	METTL3	METTL3	56339	Abcam	ab195352	2574	AB_2721254	Rabbit	Valid	 1:1500	-20
283	Midkine	Midkine	MDK	4192	Invitrogen	MA5-32538	2539	AB_2809815	Rabbit	Valid	 1:100	-20
284	MIF [discontinued]	MIF	MIF	4282	Santa Cruz	sc-20121	1323	AB_648587	Rabbit	Caution	 1:300	4
285	MIG6	MIG6	ERRFI1	54206	CST	2440	2522	AB_823573	Rabbit	Valid	 1:20	-20
286	MITF	MITF	MITF	4286	CST	12590	2365	AB_2616024	Rabbit	Valid	 1:100	-20
287	Mitofusin-1	Mitofusin-1	MFN1	55669	CST	14739	1809	AB_2744531	Rabbit	Valid	 1:500	-20
288	Mitofusin-2	Mitofusin-2	MFN2	9927	CST	11925	1810	AB_2750893	Rabbit	Valid	 1:1000	-20
289	MLH1	MLH1	MLH1	4292	CST	3515	2324	AB_2145615	Mouse	Valid	 1:500	-20
290	MLKL	MLKL	MLKL	197259	CST	14993	1780	AB_2721822	Rabbit	Valid	 1:1000	-20
291	MMP14	MMP14	MMP14	4323	Abcam	ab51074	2360	AB_881234	Rabbit	Valid	 1:1000	-20
292	MMP2	MMP2	MMP2	4313	CST	87809	2558	AB_2800107	Rabbit	Valid	 1:50	-20
293	Mnk1	Mnk1	MKNK1	8569	CST	2195	1005	AB_2235175	Rabbit	Valid	 1:100	-20
272	Monocarboxylic Acid Transporter 4	MCT4	SLC16A3	9123	Millipore	AB3314P	1633	AB_2286063	Rabbit	Valid	 1:500	-20
294	MR1	MR1	MR1	3140	Santa Cruz	sc-377312	1899	AB_2750894	Mouse	Caution	 1:250	4
295	MRAP/B27 [discontinued]	MRAP	MRAP	56246	Abcam	ab103319	1589	AB_10711585	Rabbit	Caution	 1:125	-20
296	MSH2	MSH2	MSH2	4436	CST	2017	2325	AB_2235387	Rabbit	Caution	 1:750	-20
297	MSH6	MSH6	MSH6	2956	sdix/Novus	22030002	1063	AB_2266534	Rabbit	Caution	 1:3000	-20
298	MSI2	MSI2	MSI2	124540	Abcam	ab76148	1675	AB_1523981	Rabbit	Caution	 1:500	-20
299	MTCO1	MTCO1	MT-CO1	4512	Abcam	ab14705	1344	AB_2084810	Mouse	Valid	 1:500	4
300	mTOR	mTOR	MTOR	2475	CST	2983	444	AB_2105622	Rabbit	Valid	 1:3000	-20
301	mTOR (phospho Ser2448)	mTOR_pS2448	MTOR	2475	CST	2971	446	AB_330970	Rabbit	Caution	 1:50	-20
302	MTSS1	MTSS1	MTSS1	9788	Novus/Abnova	H00009788-M01A	1247	AB_1503717	Mouse	Caution	 1:20	-20
303	Myosin Heavy Chain 11	MYH11	MYH11	4629	GeneTex	GTX131414	2358	AB_2750872	Rabbit	Caution	 1:500	-20
304	Myosin IIa	Myosin-IIa	MYH9	4627	CST	3403	1647	AB_2147297	Rabbit	Caution	 1:300	-20
305	Myosin IIa (phospho Ser1943)	Myosin-IIa_pS1943	MYH9	4627	CST	5026	1160	AB_10576567	Rabbit	Valid	 1:750	-20
306	Myt1	Myt1	PKMYT1	9088	CST	4282	1803	AB_2163831	Rabbit	Caution	 1:50	-20
307	NAPSIN-A	NAPSIN-A	NAPSA	9476	Epitomics/Abcam	5795-1/ab129189	1274	AB_11143020	Rabbit	Caution	 1:50	-20
308	N-Cadherin	N-Cadherin	CDH2	1000	CST	13116	2391	AB_2687616	Rabbit	Valid	 1:20	-20
309	NDRG1 (phospho Thr346)	NDRG1_pT346	NDRG1	10397	CST	3217	1126	AB_2150174	Rabbit	Valid	 1:100	-20
310	NDUFB4	NDUFB4	NDUFB4	4710	Invitrogen	PA5-45913	2436	AB_2609937	Rabbit	Valid	 1:50	-20
311	NF-kappaB p65 (phospho Ser536)	NF-kB-p65_pS536	RELA	5970	CST	3033	457	AB_331284	Rabbit	Caution	 1:30	-20
312	Notch1	Notch1	NOTCH1	4851	CST	3608	2461	AB_2153354	Rabbit	Valid	 1:200	-20
313	Notch1 (cleaved Val1744)	Notch1-cleaved	NOTCH1	4851	CST	4147	1969	AB_2153348	Rabbit	Valid	 1:37	-20
314	Notch3 [discontinued]	Notch3	NOTCH3	4854	Santa Cruz	sc-5593	767	AB_2151246	Rabbit	Caution	 1:500	4
315	NQO1	NQO1	NQO1	1728	CST	3187	1420	AB_2154354	Mouse	Valid	 1:1000	-20
316	N-Ras [discontinued]	N-Ras	NRAS	4893	Santa Cruz	sc-31	1136	AB_628041	Mouse	Valid	 1:30	4
317	NRF2	NRF2	NFE2L2	4780	CST	12721	1419	AB_2715528	Rabbit	Caution	 1:50	-20
318	Oct-04	Oct-04	POU5F1	5460	CST	2750	1669	AB_823583	Rabbit	Caution	 1:25	-20
101	p16INK4a	CDKN2A	CDKN2A	1029	CST	92803	2393	AB_2750891	Rabbit	Caution	 1:500	-20
319	p21	p21	CDKN1A	1026	Invitrogen	MA5-14949	2316	AB_10984461	Rabbit	Caution	 1:500	-20
321	p27 Kip 1 (phospho Thr198)	p27_pT198	CDKN1B	1027	Abcam	ab64949	878	AB_1142099	Rabbit	Valid	 1:50	-20
322	p27 Kip1	p27-Kip1	CDKN1B	1027	Abcam	ab206927	2523	AB_2811037	Rabbit	Caution	 1:1500	-20
320	p27 Kip1 (phospho Thr157)	p27_pT157	CDKN1B	1027	R&D Systems	AF1555	842	AB_354857	Rabbit	Caution	 1:300	-20
323	p38 alpha MAPK	p38-a	MAPK14	1432	CST	9228	1175	AB_490886	Mouse	Valid	 1:300	-20
324	p38 MAPK	p38-MAPK	MAPK11/12/14	"5600, 6300, 1432"	CST	9212	478	AB_330713	Rabbit	Valid	 1:1500	-20
325	p38 MAPK (phospho Thr180 Tyr182)	p38-MAPK_pT180_Y182	MAPK11/12/13/14	"5600, 6300, 5603, 1432"	CST	9215	850	AB_331762	Rabbit	Valid	 1:20	-20
326	p44/42 MAPK Erk1/2	p44-42-MAPK	MAPK1/MAPK3	"5594, 5595"	CST	4695	1119	AB_390779	Rabbit	Valid	 1:1500	-20
270	p44/42 MAPK Erk1/2 (phospho Thr202 Tyr204)	MAPK_pT202_Y204	MAPK1/MAPK3	"5594, 5595"	CST	4370	2460	AB_2315112	Rabbit	Caution	 1:500	-20
327	p53	p53	TP53	7157	CST	9282	481	AB_331476	Rabbit	Caution	 1:2000	-20
329	p70 S6 Kinase	p70-S6K1	RPS6KB1	6198	Epitomics/Abcam	1494-1/ab32529	493	AB_777800	Rabbit	Valid	 1:300	-20
328	p70 S6 Kinase (phospho Thr389)	p70-S6K_pT389	RPS6KB1	6198	CST	9205	494	AB_330944	Rabbit	Valid	 1:50	-20
331	PAI-1	PAI-1	SERPINE1	5054	BD Biosciences	612024	499	AB_399419	Mouse	Valid	 1:150	-20
332	PAICS	PAICS	PAICS	10606	Sigma-Aldrich	HPA035895	1322	AB_10669660	Rabbit	Caution	 1:250	-20
335	PAK1	PAK1	PAK1	5058	CST	2602	1811	AB_330222	Rabbit	Valid	 1:500	-20
334	PAK1-2 (phospho Thr423 Thr402)	PAK_pT423_T402	PAK1-3	"5058, 5062, 5063"	CST	2601	2377	AB_330220	Rabbit	Caution	 1:100	-20
336	PAK4	PAK4	PAK4	10298	Invitrogen	PA5-69540	2517	AB_2691394	Rabbit	Valid	 1:200	-20
333	PAK4-6 (phospho Ser474 Ser602 Ser560)	PAK_pS474_S602_S560	PAK4-6	"10298, 57144, 56924"	CST	3241	2376	AB_2158623	Rabbit	Valid	 1:500	-20
337	PAR [discontinued]	PAR	NA	NA	Trevigen	4336-BPC-100	1370	AB_2721257	Rabbit	Caution	 1:30000	-20
338	PARG	PARG	PARG	8505	CST	66564	2209	AB_2750890	Rabbit	Caution	 1:75	-20
144	PARK7/DJ1	DJ1	PARK7	11315	Abcam	ab76008	891	AB_1310549	Rabbit	Valid	 1:1000	-20
339	PARP	PARP	PARP1	142	CST	9532	2185	AB_659884	Rabbit	Valid	 1:1000	-20
340	Patched	Patched	PTCH1	5727	Abcam	ab53715	1591	AB_882208	Rabbit	Caution	 1:250	-20
341	PAX6	PAX6	PAX6	5080	CST	60433	2486	AB_2797599	Rabbit	Valid	 1:20	-20
342	PAX8	PAX8	PAX8	7849	Novus Biologicals	NBP1-32440	2434	AB_2283498	Rabbit	Caution	 1:500	-20
343	Paxillin	Paxillin	PXN	5829	CST	2542	504	AB_10693603	Rabbit	Caution	 1:200	-20
344	P-Cadherin	P-Cadherin	CDH3	1001	CST	2130	509	AB_2077669	Rabbit	Caution	 1:25	-20
345	PCNA	PCNA	PCNA	5111	CST	2586	1383	AB_2160343	Mouse	Caution	 1:100	-20
346	PD1	PD-1	PDCD1	5133	GeneTex	GTX128436	2443	AB_2814970	Rabbit	Valid	 1:75	-20
347	Pdcd4	Pdcd4	PDCD4	27250	Rockland	600-401-965	816	AB_828370	Rabbit	Caution	 1:750	-20
350	PDHK1	PDHK1	PDK1	5163	CST	3820	1622	AB_1904078	Rabbit	Caution	 1:20	-20
351	PDK1	PDK1	PDPK1	5170	CST	3062	515	AB_2236832	Rabbit	Valid	 1:100	-20
352	PDK1 (phospho Ser241)	PDK1_pS241	PDPK1	5170	CST	3061	516	AB_2161919	Rabbit	Valid	 1:50	-20
353	PD-L1	PD-L1	CD274	29126	CST	13684	1724	AB_2687655	Rabbit	Caution	 1:50	-20
354	PEA-15	PEA-15	PEA15	8682	CST	2780	1017	AB_2268149	Rabbit	Valid	 1:100	-20
355	PEA-15 (phopsho Ser116)	PEA-15_pS116	PEA15	8682	Invitrogen	PA5-38314	2533	AB_2554915	Rabbit	Valid	 1:30	-20
356	PERK	PERK	EIF2AK3	9451	CST	3192	2429	AB_2095847	Rabbit	Valid	 1:250	-20
357	PGM1	PGM1	PGM1	5236	Abcam	ab192876	2569	AB_2893201	Rabbit	Valid	 1:250	-20
358	PHGDH	PHGDH	PHGDH	26227	CST	13428	1623	AB_2750870	Rabbit	Caution	 1:500	-20
359	PHLPP	PHLPP	PHLPP1	23239	Proteintech	22789-1-AP	2399	AB_2750897	Rabbit	Valid	 1:1500	-20
360	PI3 Kinase p110 alpha	PI3K-p110-a	PIK3CA	5290	CST	4255	808	AB_659888	Rabbit	Caution	 1:150	-20
361	PI3 Kinase p110 beta	PI3K-p110-b	PIK3CB	5291	Santa Cruz	sc-376412	1330	AB_11150465	Mouse	Caution	 1:40	4
362	PI3 Kinase p85	PI3K-p85	PIK3R1	5295	Millipore	ABS1856	2277	AB_2750892	Rabbit	Caution	 1:200	4
363	PIP4K2A	PIP4K2A	PIP4K2A	5305	CST	5527	2594	AB_2722636	Rabbit	Valid	 1:500	-20
364	PIP4K2B	PIP4K2B	PIP4K2B	8396	CST	9694	2595	AB_2164572	Rabbit	Valid	 1:250	-20
365	PKA RI-alpha	PKA-a	PRKAR1A	5573	CST	5675	1667	AB_10695452	Rabbit	Valid	 1:250	-20
368	PKC (pan) (betaII) (phospho Ser660)	PKC-b-II_pS660	PRKCA/B/D/E/H/Q	"5578-81, 5583, 5588"	CST	9371	1137	AB_2168219	Rabbit	Valid	 1:200	-20
366	PKC alpha	PKCa	PRKCA	5578	CST	2056	1158	AB_2284227	Rabbit	Valid	 1:100	-20
367	PKC alpha/beta II (phospho Thr638 Thr641)	PKC-a-b-II_pT638_T641	PRKCA-B	"5578, 5579"	CST	9375	1426	AB_2284224	Rabbit	Valid	 1:250	-20
369	PKC delta (phospho Ser664)	PKC-delta_pS664	PRKCD	5580	Millipore	07-875	932	AB_568868	Rabbit	Valid	 1:75	-20
370	PKM2	PKM2	PKM	5315	CST	4053	1025	AB_1904096	Rabbit	Caution	 1:150	-20
371	PLC gamma1	PLC-gamma1	PLCG1	5335	CST	5690	2489	AB_10691383	Rabbit	Valid	 1:500	-20
372	PLC gamma1 (phospho Ser1248)	PLC-gamma1_pS1248	PLCG1	5335	CST	8713	2490	AB_10890863	Rabbit	Valid	 1:500	-20
373	PLC gamma2 (phospho Tyr759)	PLC-gamma2_pY759	PLCG2	5336	GeneTex	GTX133463	2441	AB_2868555	Rabbit	Valid	 1:2500	-20
374	PLK1	PLK1	PLK1	5347	CST	4513	754	AB_2167409	Rabbit	Caution	 1:125	-20
375	PMS2	PMS2	PMS2	5395	Abcam	ab110638	2245	AB_10858491	Rabbit	Valid	 1:500	-20
378	PRAS40	PRAS40	AKT1S1	84335	Invitrogen	AHO1031	738	AB_2536321	Mouse	Caution	 1:75	-20
379	PRAS40 (phospho Thr246)	PRAS40_pT246	AKT1S1	84335	Invitrogen	44-1100G	739	AB_2533573	Rabbit	Valid	 1:500	-20
380	PRC1 (phospho Thr481)	PRC1_pT481	PRC1	9055	Aviva Systems Biology	OAAF05458	2398	AB_2868544	Rabbit	Caution	 1:150	-20
381	PREX1 [discontinued]	PREX1	PREX1	57580	Abcam	ab102739	1204	AB_10711640	Rabbit	Valid	 1:100	-20
382	PRMT1	PRMT1	PRMT1	3276	CST	2449	1684	AB_2237696	Rabbit	Valid	 1:500	-20
383	PRMT5	PRMT5	PRMT5	10419	Abcam	ab109451	2609	AB_10863428	Rabbit	Valid	 1:500	-20
377	Progesterone Receptor	PR	PGR	5241	abcam	ab206926	2296	AB_2750865	Rabbit	Valid	 1:150	-20
384	PTEN	PTEN	PTEN	5728	CST	9552	566	AB_10694066	Rabbit	Valid	 1:500	-20
385	PTPN12	PTPN12	PTPN12	5782	Abcam	ab76942	2154	AB_1524267	Rabbit	Valid	 1:150	-20
386	Puma/BBC3	Puma	BBC3	27113	CST	4976	1290	AB_2064551	Rabbit	Caution	 1:50	-20
387	"PYGB/Glycogen phosphorylase, brain"	PYGB	PYGB	5834	Sigma-Aldrich	SAB2900066	1242	AB_10599750	Rabbit	Valid	 1:500	-20
388	"PYGM/Glycogen phosphorylase, muscle"	PYGM	PYGM	5837	Novus/Abnova	H00005837-M10	1245	AB_2237986	Mouse	Caution	 1:500	-20
389	Pyk2 (phospho Tyr402)	Pyk2_pY402	PTK2B	2185	CST	3291	1607	AB_2300530	Rabbit	Caution	 1:75	-20
349	Pyruvate Dehydrogenase	PDHA1	PDHA1	5160	CST	3205	1817	AB_2162926	Rabbit	Valid	 1:50	-20
348	Pyruvate Dehydrogenase E2	PDH	DLAT	1737	Abcam	ab110332	1258	AB_10858998	Mouse	Valid	 1:50	-20
390	Rab11	Rab11	RAB11A/B	"8766, 9230"	CST	3539	1083	AB_2253210	Rabbit	Caution	 1:25	-20
391	Rab11FIP1	Rab11FIP1	RAB11FIP1	80223	CST	12849	2601	AB_2798044	Rabbit	Valid	 1:500	-20
392	Rab25	Rab25	RAB25	57111	CST	4314	1150	AB_10545758	Rabbit	Valid	 1:30	-20
97	Rac1/Cdc42	Cdc42	CDC42/RAC1	"998, 5879"	CST	4651	1332	AB_10612265	Rabbit	Caution	 1:50	-20
393	Rad17 (phospho Ser645)	Rad17_pS645	RAD17	5884	CST	6981	2526	AB_11178527	Rabbit	Valid	 1:300	-20
394	Rad23A	Rad23A	RAD23A	5886	CST	24555	1979	AB_2750888	Rabbit	Caution	 1:3000	-20
395	Rad50	Rad50	RAD50	10111	CST	3427	1454	AB_2176936	Rabbit	Valid	 1:150	-20
396	Rad51	Rad51	RAD51	5888	Millipore	ABE257	2112	AB_10850319	Rabbit	Caution	 1:2000	4
127	Raf-1/C-Raf	C-Raf	RAF1	5894	Millipore	04-739	1201	AB_1977452	Rabbit	Caution	 1:200	-20
397	Raptor	Raptor	RPTOR	57521	CST	2280	1128	AB_561245	Rabbit	Valid	 1:300	-20
398	Rb	Rb	RB1	5925	CST	9309	552	AB_823629	Mouse	Red_Blob	 1:150	-20
399	Rb (phospho Ser807 Ser811)	Rb_pS807_S811	RB1	5925	CST	9308	557	AB_331472	Rabbit	Valid	 1:500	-20
400	RBM15	RBM15	RBM15	64783	Novus	21390002	1138	AB_2175759	Rabbit	Valid	 1:5000	-20
401	Rheb	Rheb	RHEB	6009	R&D Systems	MAB3426	847	AB_2178785	Mouse	Caution	 1:75	-20
402	Rictor	Rictor	RICTOR	253260	CST	2114	1129	AB_2179963	Rabbit	Caution	 1:100	-20
403	Rictor (phospho Thr1135)	Rictor_pT1135	RICTOR	253260	CST	3806	1130	AB_10557237	Rabbit	Valid	 1:200	-20
404	RIP	RIP	RIPK1	8737	CST	4926	1624	AB_2224503	Rabbit	Caution	 1:25	-20
405	RIP3	RIP3	RIPK3	11035	CST	13526	1625	AB_2687467	Rabbit	Caution	 1:25	-20
406	RPA32/RPA2	RPA32	RPA2	6118	CST	52448	2389	AB_2750889	Rabbit	Valid	 1:500	-20
407	RPA32/RPA2 (phospho Ser4 Ser8)	RPA32_pS4_S8	RPA2	6118	Bethyl	A300-245A	1375	AB_210547	Rabbit	Caution	 1:200	4
408	RRM1	RRM1	RRM1	6240	CST	3388	1978	AB_2180382	Rabbit	Caution	 1:50	-20
409	RRM2	RRM2	RRM2	6241	Life Technologies	PA5-27856	1981	AB_2545332	Rabbit	Caution	 1:250	-20
411	RSK1	RSK1	RPS6KA1	6195	CST	8408	2425	AB_10828594	Rabbit	Valid	 1:750	-20
330	RSK1 (phospho Thr573)	p90RSK_pT573	RPS6KA1	6195	Invitrogen	PA5-37728	2448	AB_2554336	Rabbit	Caution	 1:500	-20
410	RSK1/2/3	RSK	RPS6KA1/2/3	6195-7	CST	9347	759	AB_330803	Rabbit	Caution	 1:150	-20
412	S100A4	S100A4	S100A4	6275	CST	13018	2031	AB_2750896	Rabbit	Valid	 1:200	-20
413	S6 Ribosomal Protein	S6	RPS6	6194	CST	2317	1874	AB_2238583	Mouse	Valid	 1:750	-20
414	S6 Ribosomal Protein (phospho Ser235 Ser236)	S6_pS235_S236	RPS6	6194	CST	2211	600	AB_331679	Rabbit	Valid	 1:10000	-20
415	S6 Ribosomal Protein (phospho Ser240 Ser244)	S6_pS240_S244	RPS6	6194	CST	2215	601	AB_331682	Rabbit	Valid	 1:1000	-20
416	SCD	SCD	SCD	6319	Santa Cruz	sc-58420	1127	AB_785599	Mouse	Valid	 1:20	4
417	SDHA	SDHA	SDHA	6389	CST	11998	1339	AB_2750900	Rabbit	Valid	 1:250	-20
120	SDHB	Complex-II-Subunit	SDHB	6390	Life Technologies	459230	1069	AB_2532233	Mouse	Valid	 1:200	4
418	SF2	SF2	SRSF1	6426	CST	14902	2557	AB_2798641	Rabbit	Valid	 1:100	-20
419	SFRP1	SFRP1	SFRP1	6422	CST	3534	2495	AB_2187065	Rabbit	Valid	 1:100	-20
420	SGK1	SGK1	SGK1	6446	CST	12103	2411	AB_2687476	Rabbit	Valid	 1:150	-20
421	SGK3	SGK3	SGK3	23678	CST	8156	2409	AB_10949507	Rabbit	Valid	 1:200	-20
422	Shc (phospho Tyr317)	Shc_pY317	SHC1	6464	Bioss	bs-3413R	2476	AB_10856715	Rabbit	Caution	 1:750	-20
423	SHP-2/PTPN11	SHP2	PTPN11	5781	CST	3397	2241	AB_2174959	Rabbit	Valid	 1:125	-20
424	SHP-2/PTPN11 (phospho Tyr542)	SHP-2_pY542	PTPN11	5781	CST	3751	1180	AB_330825	Rabbit	Caution	 1:75	-20
425	SIRP alpha	SIRP-alpha	SIRPA	140885	Abcam	ab8120	2570	AB_306290	Rabbit	Valid	 1:3000	-20
426	SLC1A5	SLC1A5	SLC1A5	6510	Sigma-Aldrich	HPA035240	1313	AB_10604092	Rabbit	Caution	 1:150000	-20
427	Slfn11 [discontinued]	Slfn11	SLFN11	91607	Santa Cruz	sc-136891	1411	AB_2189882	Goat	Caution	 1:40	4
428	Smac/Diablo	Smac	DIABLO	56616	CST	2954	610	AB_2131196	Mouse	Red_Blob	 1:150	-20
