,peptide_target
360,PI3KP110ALPHA
361,PI3KP85
362,PKA-a
363,PKC-a-b-II_pT638_T641
364,PKCALPHA
365,PKCALPHA_pS657
366,PKCDELTA_pS664
367,PKCPANBETAII_pS660
368,PKM2
369,PLC-gamma1
370,PLC-gamma2_pY759
371,PLK1
372,PMS2
373,Porin
374,PR
375,PRAS40
376,PRAS40_pT246
377,PRC1_pT481
378,PRDX1
379,PREX1
380,PTEN
381,PTPN12
382,Puma
383,PYGB
384,PYGL
385,PYGM
386,Pyk2_pY402
387,RAB11
388,RAB25
389,Rad23A
390,RAD50
391,RAD51
392,RAPTOR
393,RB
394,RB_pS807S811
395,RBM15
396,RET_pY905
397,Rheb
398,RICTOR
399,RICTOR_pT1135
400,RIP
401,RIP3
402,RPA32
403,RPA32_pS4_S8
404,RRM1
405,RRM2
406,RSK1
407,S100A4
408,S6
409,S6_pS235S236
410,S6_pS240S244
411,SCD1
412,SDHA
413,SETD2
414,SF2
415,SFRP1
416,SGK1
417,SGK3
418,SHC_pY317
419,SHP2
420,SHP2_pY542
421,SIRP-alpha
422,SLC1A5
423,Slfn11
424,SMAC
425,SMAD1
426,SMAD3
427,SMAD4
428,SNAIL
429,SOD1
430,SOD2
431,Sox2
432,SRC
433,SRC_pY416
434,SRC_pY527
435,Stat3
436,STAT3_pY705
437,STAT5ALPHA
438,STATHMIN
439,STING
440,SYK
441,Tau
442,TAZ
443,TFAM
444,TFRC
445,TIGAR
446,TRANSGLUTAMINASE
447,TRAP1
448,TRIM24
449,TRIM25
450,TRIP13
451,TSC1
452,TTF1
453,TUBERIN
454,TUBERIN_pT1462
455,TUFM
456,Twist
457,Tyro3
458,U-Histone-H2B
459,UBAC1
460,UBQLN4
461,UGT1A
462,ULK1_pS757
463,UQCRC2
464,UVRAG
465,VASP
466,VAV1
467,VEGFR2
468,VHL
469,Vinculin
470,Wee1
471,Wee1_pS642
472,WIPI1
473,WIPI2
474,WTAP
475,XBP1
476,XIAP
477,XPA
478,XPF
479,XRCC1
480,YAP
481,YAP_pS127
482,YB1
483,YB1_pS102
484,YTHDF2
485,YTHDF3
486,ZAP-70
487,ZEB1
